Geoid,Geographic Area Name,Median,White Households,Black Households,American Indian and Alaska Native,Asian
27001,"Aitkin County, Minnesota",49351,49455,0,35000,83958
27003,"Anoka County, Minnesota",82175,84770,56155,64917,82547
27005,"Becker County, Minnesota",60284,62013,0,33672,59125
27007,"Beltrami County, Minnesota",49160,55510,23237,31095,40625
27009,"Benton County, Minnesota",57715,60133,0,0,36458
27011,"Big Stone County, Minnesota",53900,52262,0,0,0
27013,"Blue Earth County, Minnesota",57429,60326,24250,41950,42083
27015,"Brown County, Minnesota",61120,63387,33633,0,0
27017,"Carlton County, Minnesota",63098,65030,"2,500",36875,0
27019,"Carver County, Minnesota",101496,101519,78477,62682,128250
27021,"Cass County, Minnesota",52204,55165,0,30694,71111
27023,"Chippewa County, Minnesota",55269,57489,0,0,24167
27025,"Chisago County, Minnesota",83464,83293,0,105208,129318
27027,"Clay County, Minnesota",65269,67144,59113,14527,56324
27029,"Clearwater County, Minnesota",50386,51721,0,28750,0
27031,"Cook County, Minnesota",57432,59280,0,44028,0
27033,"Cottonwood County, Minnesota",52087,54299,0,0,25602
27035,"Crow Wing County, Minnesota",56549,56749,35500,50667,0
27037,"Dakota County, Minnesota",86036,89138,53837,76875,101651
27039,"Dodge County, Minnesota",74575,75532,0,0,0
27041,"Douglas County, Minnesota",63819,64486,0,34356,0
27043,"Faribault County, Minnesota",53156,53448,0,0,0
27045,"Fillmore County, Minnesota",61207,61548,0,0,0
27047,"Freeborn County, Minnesota",53631,54774,46250,93879,44338
27049,"Goodhue County, Minnesota",66800,68323,18630,0,38750
27051,"Grant County, Minnesota",55466,55085,0,0,0
27053,"Hennepin County, Minnesota",78167,86590,33720,36364,90730
27055,"Houston County, Minnesota",60382,60865,32841,48365,0
27057,"Hubbard County, Minnesota",56709,56984,0,34141,125000
27059,"Isanti County, Minnesota",74616,74476,0,2500,86750
27061,"Itasca County, Minnesota",55139,55664,0,35469,25938
27063,"Jackson County, Minnesota",58727,58440,0,0,0
27065,"Kanabec County, Minnesota",57163,57810,0,0,118500
27067,"Kandiyohi County, Minnesota",60294,62672,21156,0,33242
27069,"Kittson County, Minnesota",59643,59777,0,0,0
27071,"Koochiching County, Minnesota",50870,51998,0,12337,0
27073,"Lac qui Parle County, Minnesota",53071,53383,0,0,0
27075,"Lake County, Minnesota",61452,62879,0,38594,0
27077,"Lake of the Woods County, Minnesota",49967,50199,0,0,0
27079,"Le Sueur County, Minnesota",71080,72175,13656,0,90000
27081,"Lincoln County, Minnesota",53077,53462,0,44688,0
27083,"Lyon County, Minnesota",57730,60471,0,0,57000
27085,"McLeod County, Minnesota",62121,62656,0,0,48516
27087,"Mahnomen County, Minnesota",44688,53036,0,36042,0
27089,"Marshall County, Minnesota",60118,60712,0,31500,0
27091,"Martin County, Minnesota",52798,53070,0,46136,0
27093,"Meeker County, Minnesota",63452,64053,0,0,0
27095,"Mille Lacs County, Minnesota",56135,57059,0,36250,0
27097,"Morrison County, Minnesota",57815,58377,0,52500,0
27099,"Mower County, Minnesota",54295,56833,39893,0,42240
27101,"Murray County, Minnesota",60231,59375,0,0,75833
27103,"Nicollet County, Minnesota",67399,70489,17527,0,62206
27105,"Nobles County, Minnesota",55304,58975,52976,23485,32183
27107,"Norman County, Minnesota",55085,55773,0,46667,0
27109,"Olmsted County, Minnesota",76951,79789,33391,71696,85792
27111,"Otter Tail County, Minnesota",58682,59305,21679,55172,61750
27113,"Pennington County, Minnesota",60122,60044,72908,0,122969
27115,"Pine County, Minnesota",53422,53348,61190,38380,54219
27117,"Pipestone County, Minnesota",52917,55668,0,18555,0
27119,"Polk County, Minnesota",59343,60541,37298,36607,46506
27121,"Pope County, Minnesota",61275,62083,0,31406,0
27123,"Ramsey County, Minnesota",64660,72775,34273,41451,58894
27125,"Red Lake County, Minnesota",58576,58953,0,19861,0
27127,"Redwood County, Minnesota",55404,57353,25476,32454,35938
27129,"Renville County, Minnesota",59028,60162,0,0,60208
27131,"Rice County, Minnesota",68584,71326,40167,92938,57500
27133,"Rock County, Minnesota",63005,62523,0,0,157917
27135,"Roseau County, Minnesota",62202,62272,0,18819,90150
27137,"St. Louis County, Minnesota",55646,56968,20521,28036,41947
27139,"Scott County, Minnesota",102152,103992,88962,103769,110120
27141,"Sherburne County, Minnesota",89250,90766,39900,0,0
27143,"Sibley County, Minnesota",63439,63852,0,0,38333
27145,"Stearns County, Minnesota",62789,66001,26381,135921,43938
27147,"Steele County, Minnesota",64903,67075,31277,3897,68007
27149,"Stevens County, Minnesota",60559,61588,0,17961,0
27151,"Swift County, Minnesota",51620,53153,0,0,0
27153,"Todd County, Minnesota",53585,54192,0,0,0
27155,"Traverse County, Minnesota",51957,56417,0,39375,0
27157,"Wabasha County, Minnesota",65226,65830,9228,33542,0
27159,"Wadena County, Minnesota",46605,47020,0,0,76458
27161,"Waseca County, Minnesota",56762,61111,0,0,48438
27163,"Washington County, Minnesota",96671,97820,55865,67019,108413
27165,"Watonwan County, Minnesota",54065,53871,0,0,34000
27167,"Wilkin County, Minnesota",60595,60873,0,0,0
27169,"Winona County, Minnesota",59329,60421,0,40597,0
27171,"Wright County, Minnesota",84974,84459,129056,71406,87300
27173,"Yellow Medicine County, Minnesota",59210,61215,11098,48750,0
